FIPS,countyState,state,county,physUnhlth,mentUnhlth,fairPoorHlth,lowbwt,pcpRate,mhpRate,dentRate,paMedReim,noIns1864,noInsUnd64,infMort,childMort,preAAmort,diabAdult,teenBirRate,chlamRate,hivPrevRate,smokAdult,drinkAdult,limHlthFood,accExer,obese20,inactive20,freeLunch,fei
1001,"Autauga County, Alabama ",1,1,4.4,4.3,19.4,8.786701209,39.82189,14.44174,32.49391,10165.85,17.481181,13.42053547,7.054297,50.48834,456.4,10.9,35.18352112,416.1112512,205.40684,18.7,15.1,9.793530396,70.8214986,30.9,28.7,36.9455593,7.1
4001,"Apache County, Arizona",4,1,5.7,5.3,29.5,6.950539675,29.19343,103.02389,68.21852,8073,28.29382,23.58182452,6.976744,73.82881,535,16.6,55.2249989,822.4605506,127.80783,25.6,14.6,43.82803865,22.13848262,32.8,21.8,,0.5
5001,"Arkansas County, Arkansas",5,1,4.6,4.2,21.1,11.42374789,53.25664,80.67118,37.64655,8549.44,22.561576,17.97585043,,91.12136,490.6,13,65.36890171,592.8435317,214.83635,22.4,13.9,7.922580215,48.40948525,34,37.1,54.6885035,6
6001,"Alameda County, California",6,1,3.4,3.3,13,7.24314432,106.08712,492.69952,88.95532,8560.43,17.391618,14.41522675,4.367028,38.0772,256.3,9.1,21.83907019,416.7309869,410.9462,10.6,16.3,1.604128383,99.73316047,20,14.7,42.8335259,7.6
8001,"Adams County, Colorado",8,1,3.5,3.3,15.8,8.722470608,47.52842,269.80475,55.3339,9336.09,25.646917,20.91620515,6.032502,42.69871,337.8,7.6,47.49798906,431.2464371,193.61111,18.1,18.5,4.530165918,94.65447472,25.8,20,44.6999652,8.1
9001,"Fairfield County, Connecticut ",9,1,2.8,3.2,11.8,7.630721365,90.11559,258.39875,90.22273,9006.98,16.267712,13.31661342,4.762652,35.14186,223.5,8.3,15.41483157,295.0199982,345.12255,14.2,18.3,2.563960775,96.78904136,20.8,20.3,29.6633297,8.4
10001,"Kent County, Delaware",10,1,3.6,3.8,15.7,8.476974531,60.79709,159.31437,39.53787,9294.58,12.683613,10.35581367,6.52299,51.98663,379,11.7,32.34109488,699.1755456,246.52622,18.2,15.3,4.833615551,69.49910665,33.2,28.1,47.0273392,7.7
11001,"District of Columbia County, District of Columbia ",11,1,2.8,3.2,12.7,10.21426566,115.86374,443.62286,117.01445,7970.79,8.784689,7.578031462,9.839788,89.67392,394.6,8.3,44.25991338,1014.355005,2812.47392,15.8,24.9,0.952962465,100,22.1,17,58.0949366,8
12001,"Alachua County, Florida ",12,1,4,3.9,16.4,8.705522381,149.53581,500.42905,157.96864,9446.64,21.93574,19.09718273,8.079614,75.3283,329.8,8.4,19.46134,721.5104786,408.93161,18.2,20.3,7.183420908,83.5345441,25.3,19.2,42.313268,6.1
13001,"Appling County, Georgia ",13,1,4.3,4.1,19.9,10.65217391,48.80694,37.7562,10.78749,9878.49,29.226895,24.05121171,,80.51098,514.8,13,86.21553885,381.097561,132.86388,17.9,14.2,5.840546911,29.3156394,35.2,29.6,61.9354839,6.6
15001,"Hawaii County, Hawaii ",15,1,3.6,3.3,16.7,7.910223863,72.84314,271.89866,62.82507,6765.76,13.374725,10.70299107,5.778677,50.96115,315.3,10,41.74041298,405.9389717,199.37214,17.6,21.6,10.78194653,64.39358328,23.5,19.6,,6.8
16001,"Ada County, Idaho ",16,1,3,3.3,10.9,6.408244969,88.12286,266.98824,80.23724,8176.99,17.814009,14.51403428,5.357664,36.47964,259.9,6.9,21.56707338,392.850944,103.42443,14.9,17.4,3.818424722,91.57264282,24.5,16.3,30.8412353,7.5
17001,"Adams County, Illinois ",17,1,3.5,3.5,12.8,7.327212888,84.90988,211.97826,68.66902,8878.92,13.347713,10.55769124,5.049626,39.18048,337.4,9.6,35.36231884,376.5049035,69.4049,16.4,20.2,3.514975489,78.42123303,34.7,24,41.7690164,7.9
